brand,model,fuel_type,vehicle_count,distance_traveled_km,liters_consumed,total_co2_kg,total_fuel_cost_eur,idle_ratio,utilization,km_per_liter_filled_capped,co2_per_km,fuel_cost_per_km,fuel_benchmark
Opel,CORSA,Diesel,1,457.783203125,19.7,52.79600000000001,33.49,0.35043306998931345,0.350252700617284,23.237726046954315,0.11532970113275168,0.07315689997226786,8.0
PAUGEOT,PARTNER,Diesel,1,276.40625,3.4,9.112,5.78,0.6980343199692881,0.4633035714285714,81.29595588235294,0.03296596947427925,0.020911249293386093,8.0
PEUGEOT,208 ELETT,Diesel,1,446.6640625,0.0,0.0,0.0,,0.3781283068783069,,0.0,0.0,8.0
PEUGEOT,BOXER,Diesel,1,406.1796875,27.5,73.7,46.75,0.6069186797293499,0.42635648148148153,14.770170454545454,0.18144678886730398,0.11509684368448385,8.0
PEUGEOT,EXPERT,Diesel,1,516.658203125,19.299999999999997,51.724000000000004,32.81,0.5377313385330963,0.5135185185185186,26.769855084196895,0.10011260769140624,0.06350426607290695,8.0
PEUGEOT,PARTNER,Diesel,1,318.265625,7.8,20.904000000000003,13.26,0.6151302818050113,0.3318915343915344,40.803285256410255,0.0656809858117728,0.041663311895527515,8.0
PIAGGIO,PORTER,CNG,2,1015.71875,0.0,0.0,0.0,,0.378912037037037,,0.0,0.0,6.5
PIAGGIO,PORTER,Diesel,54,16035.071746826172,845.9,2267.012,1438.03,0.514784784412639,0.35128129768345123,18.95622620501971,0.14137835089192605,0.08968029720756503,8.0
Piaggio,PORTER,Diesel,6,851.2136535644531,95.2,255.13600000000002,161.84,0.6137158933275497,0.356672149122807,8.94131989038291,0.2997320342920009,0.19012852921507517,8.0
Piaggio,PORTER,Gasoline,3,523.859375,0.0,0.0,0.0,,0.25712577160493827,,0.0,0.0,7.0
RENAULT,120 OXI,Diesel,1,106.96875,0.0,0.0,0.0,0.880742702333388,0.5659809027777778,,0.0,0.0,8.0
RENAULT,CLIO,Diesel,1,883.53125,46.5,124.62,79.05,0.5351464206387536,0.8031431878306877,19.000672043010752,0.14104764262724154,0.08947051957698157,8.0
RENAULT,KANGOO,Diesel,1,264.703125,9.7,25.996000000000002,16.49,0.7484235823521274,0.3279841820987654,27.28898195876289,0.09820813411250813,0.062296204474352156,8.0
